--- Analyzing Page 101 ---
Char:   | Font: EGHZKQ+CopperplateGothicStd-29AB | Size: 10.0
Char: C | Font: EGHZKQ+CopperplateGothicStd-29AB | Size: 10.0
Char: a | Font: EGHZKQ+CopperplateGothicStd-29AB | Size: 10.0
Char: n | Font: EGHZKQ+CopperplateGothicStd-29AB | Size: 10.0
Char: i | Font: EGHZKQ+CopperplateGothicStd-29AB | Size: 10.0
Char: n | Font: EGHZKQ+CopperplateGothicStd-29AB | Size: 10.0
Char: e | Font: EGHZKQ+CopperplateGothicStd-29AB | Size: 10.0
Char:   | Font: EGHZKQ+CopperplateGothicStd-29AB | Size: 10.0
Char: a | Font: EGHZKQ+CopperplateGothicStd-29AB | Size: 10.0
Char: n | Font: EGHZKQ+CopperplateGothicStd-29AB | Size: 10.0
Char: d | Font: EGHZKQ+CopperplateGothicStd-29AB | Size: 10.0
Char:   | Font: EGHZKQ+CopperplateGothicStd-29AB | Size: 10.0
Char: F | Font: EGHZKQ+CopperplateGothicStd-29AB | Size: 10.0
Char: e | Font: EGHZKQ+CopperplateGothicStd-29AB | Size: 10.0
Char: l | Font: EGHZKQ+CopperplateGothicStd-29AB | Size: 10.0
Char: i | Font: EGHZKQ+CopperplateGothicStd-29AB | Size: 10.0
Char: n | Font: EGHZKQ+CopperplateGothicStd-29AB | Size: 10.0
Char: e | Font: EGHZKQ+CopperplateGothicStd-29AB | Size: 10.0
Char: , | Font: EGHZKQ+CopperplateGothicStd-29AB | Size: 10.0
Char:   | Font: EGHZKQ+CopperplateGothicStd-29AB | Size: 10.0
Char: S | Font: EGHZKQ+CopperplateGothicStd-29AB | Size: 10.0
Char: e | Font: EGHZKQ+CopperplateGothicStd-29AB | Size: 10.0
Char: v | Font: EGHZKQ+CopperplateGothicStd-29AB | Size: 10.0
Char: e | Font: EGHZKQ+CopperplateGothicStd-29AB | Size: 10.0
Char: n | Font: EGHZKQ+CopperplateGothicStd-29AB | Size: 10.0
Char: t | Font: EGHZKQ+CopperplateGothicStd-29AB | Size: 10.0
Char: h | Font: EGHZKQ+CopperplateGothicStd-29AB | Size: 10.0
Char:   | Font: EGHZKQ+CopperplateGothicStd-29AB | Size: 10.0
Char: E | Font: EGHZKQ+CopperplateGothicStd-29AB | Size: 10.0
Char: d | Font: EGHZKQ+CopperplateGothicStd-29AB | Size: 10.0
Char: i | Font: EGHZKQ+CopperplateGothicStd-29AB | Size: 10.0
Char: t | Font: EGHZKQ+CopperplateGothicStd-29AB | Size: 10.0
Char: i | Font: EGHZKQ+CopperplateGothicStd-29AB | Size: 10.0
Char: o | Font: EGHZKQ+CopperplateGothicStd-29AB | Size: 10.0
Char: n | Font: EGHZKQ+CopperplateGothicStd-29AB | Size: 10.0
Char:   | Font: EGHZKQ+CopperplateGothicStd-29AB | Size: 10.0
Char: 1 | Font: NTNWAY+CopperplateGothicStd-31AB | Size: 10.0
Char: 9 | Font: NTNWAY+CopperplateGothicStd-31AB | Size: 10.0
Char: A | Font: NTNWAY+CopperplateGothicStd-31AB | Size: 13.0
Char: • | Font: BGXHXW+AGaramondPro-Regular | Size: 8.0
Char:   | Font: BGXHXW+AGaramondPro-Regular | Size: 8.0
Char: A | Font: BGXHXW+AGaramondPro-Regular | Size: 9.0
Char: z | Font: BGXHXW+AGaramondPro-Regular | Size: 9.0
